Sec_Code,Sec_Name_E
0101,Qesm El Tbin
0102,Qesm Helwan
0103,Qesm El Masara
0104,Qesm 15 Of May
0105,Qesm Tora
0106,Qesm El Maadi
0107,Qesm El Bsateen
0108,Qesm Dar El Salam
0109,Qesm Misr El Kadima
0110,Qesm El Sayda Zeinb
0111,Qesm El El Khalifa
0112,Qesm El Moqatam
0113,Qesm Monshat Nasser
0114,Qesm El Darb El Ahmr
0115,Qesm El Mosky
0116,Qesm Abdeen
0117,Qesm Qasr El Nile
0118,Qesm El Zamalek
0119,Qesm Bolak
0120,Qesm El Azbakia
0121,Qesm Bab El Shaaria
0122,Qesm El Gamalia
0123,Qesm El Zaher
0124,Qesm El Waily
0125,Qesm Hadaek El Koba
0126,Qesm El Shrabia
0127,Qesm Shobra
0128,Qesm Rod El Farg
0129,Qesm El Sahel
0130,Qesm El Zawia El Hamra
0131,Qesm El Ameeria
0132,Qesm El Zaytoun
0133,Qesm El Mataria
0134,Qesm Ain Shamas
0135,Qesm El Marg
0136,Qesm 1st El Salam
0137,Qesm 2nd El Salam
0138,Qesm El Nozha
0139,Qesm Heliopolis
0140,Qesm 1st Nasr City
0141,Qesm 2nd Nasr City
0142,Qesm Shortah Eltagamoaa Khames
0143,Qesm Shortah Eltagamoaa Awl
0144,Qesm Shortah El Qatmia
0145,Qesm El Shorouk
0146,Qesm Badr
0199,Surrounded By Desert To Cairo Governorate
0201,Qesm 1st El Montazh
0202,Qesm 2nd El Montazha
0203,Qesm 1st El Ramel
0204,Qesm 2nd El Ramel
0205,Qesm Sedi Gaber
0206,Qesm Bab Sharki
0207,Qesm El Atareen
0208,Qesm Moharm Bek
0209,Qesm Karmouz
0210,Qesm El Laban
0211,Qesm El Manshia
0212,Qesm El Gomrok
0213,Alexandria Port Police Department
0214,Qesm Mina El Basal
0215,Qesm El Dekhela
0216,Qesm 1st El Amria
0217,Qesm 2nd El Ammeria
0218,Qesm Borg El Arab
0219,New Borg El Arab City
0220,El Sahel El Shamaly
0299,Surrounded By Desert To Alexandria Governorate
0301,Qesm El Shark
0302,Qesm El Arab
0303,Qesm El Manakh
0304,Qesm El Dawahy
0305,Qesm El Zohor
0306,Qesm El Manasra - West Port Said
0307,Qesm 1st El Ganob
0308,Qesm 2nd El Ganob
0309,Qesm Port Fouad
0310,Qesm 2nd Port Fouad
0311,Qesm Mubark
0312,Port Said Port Police Department
0401,Qesm El Suez
0402,Qesm El Arbaeen
0403,Qesm Ataka
0404,Qesm Faisal
0405,Qesm El Ganyen
0406,Suez Port Police Department
0499,Surrounded By Desert To Suez Governorate
1101,Qesm 1st Domiat
1102,Qesm 2nd Domiat
1103,Markaz Domiat
1104,Markaz Farskor
1105,Markaz El Zarqa
1106,Markaz Kafr Saad
1107,Markaz Kafr El Batikh
1108,Qesm New Domiat City
1109,New Domiat Port Police Department
1110,Qesm Ras El Bar
1199,Surrounded By Desert To Domiat Governorate
1201,Qesm 1st El Mansoura
1202,Qesm 2nd El Mansoura
1203,Markaz El Mansoura
1204,Markaz Aga
1205,Qesm Meet Ghamr
1206,Markaz Meet Ghamr
1207,Markaz El Senbelawen
1208,Markaz Tama El Emdid
1209,Markaz Bany Ebeed
1210,Markaz Mahalet Demna
1211,Markaz Dekernes
1212,Markaz Menyet El Nasr
1213,Qesm El Kordy
1214,Markaz Meet Selseel
1215,Markaz El Gamalia
1216,Markaz El Manzala
1217,Markaz El Mataria
1218,Markaz Sherbin
1219,Qesm Gamasa
1220,Markaz Talkha
1221,Markaz Nabaroh
1222,Markaz Belqas
1299,Surrounded By Desert To Daqahlia Governorate
1301,Qesm 1st El Zaqaziq
1302,Qesm 2nd El Zaqaziq
1303,Markaz El Zaqaziq
1304,Qesm El Qenayat
1305,Markaz Menia El Qamh
