SSec_Code,SSec_Name_E
010101,El Tebin El Bahareya
010102,El Tebin El Qebleya
010103,Hakr El Tebin
010104,El Solb City
010105,Masaken El Tebin El Shabeya
010201,
010202,Helwan El Baharia
010203,
010204,
010205,
010206,Helwan El Keblia
010207,Kafer El Elo
010208,Ain Helwan
010301,El Masara El Balad
010302,
010303,
010304,
010401,El Sheyakha El Ola
010402,
010403,
010501,
010502,
010503,Tora El Heet - Kotseka Prev
010504,Tora El Asmant
010505,Manshyet El Masry
010506,El Zahraa
010601,Mady El Khabiry El Sharkaia
010602,Mady El Khabiry El Gharbaia
010603,Mady El Khabiry El Wasty
010604,Mady El Saraiat El Sharkaia
010605,Maadi El Sarayat El Gharbia
010701,El Basateen
010702,Gebreal
010703,El Maadi El Gededa
010801,Dar El Salam
010802,El Eisawia
010803,Nafea
010901,
010902,
010903,
010904,
010905,El Deiora
010906,El Rawda & El Meqias
010907,
010908,El Manial El Sharky
010909,El Manial El Gharby
010910,Ain El Seira
010911,
010912,Kom Ghorab
011001,
011002,El Baghala
011003,El Hanafy
011004,El Darb El Gidid
011005,El Sabaien
011006,El Saiada
011007,El Atreas
011008,El Eainy
011009,El Kabesh
011010,Hadaeik Zeinhom
011011,Khairat
011012,Darb El Gamamez
011013,Zenhom
011014,Sonkor
011015,Tolon
011101,El Abagia
011102,El Amameen
011103,El Baqly
011104,El Tonsy
011105,El Hataba
011106,El Halmaia
011107,El Khalifa
011108,
011109,El Saliba
011110,El Kaderia
011111,El Mahger
011112,Darb El Hasr
011113,Darb Ghazia
011114,Arab El Yasar
011201,El Moqatam
011202,El Ahyaa
011203,El Nasr
011204,El Sharq Leltameen
011205,El Giza
011206,El Said
011207,El Sabeen Fadan
011208,Sobhy Hussein
011209,Atlas G
011210,El Abd
011301,El Khazan
011302,El Maadasa
011303,El Mahager
011304,El Soltan Barquq
011305,El Mogawren
011306,Qaitbay
011307,Monshaet Naser
011308,Masaken Suzan Mubarak El Gededa
011401,El Batnia
011402,El Dwadia
011403,El Darb El Ahmr
011404,El Srogia
011405,El Omary
011406,El Ghoria
011407,El Karbia
011408,El Meghrblin
011409,
011410,Tahet El Rabea
011411,
011412,Darb Saada
011413,Darb Shaalan
